Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EXO1		7	7	1338	0.5%	No
KLHL29		6	6	651	0.9%	No
CROCCP3		1	1	180	0.6%	No
METTL2A		7	7	1403	0.5%	No
PCSK7		6	5	968	0.5%	Yes
LGALS9C		3	3	635	0.5%	No
CTDP1		9	9	1481	0.6%	No
CLK4		3	3	819	0.4%	No
SLC28A2		8	7	1148	0.6%	No
SLC28A1		6	6	975	0.6%	No
UBFD1		3	3	273	1.1%	No
SLC6A5		6	6	1142	0.5%	No
KLHL4		19	15	1374	1.1%	No
CLTRN		3	3	507	0.6%	No
SESN2		6	6	753	0.8%	Yes
PARP9		18	15	1460	1.0%	No
URB1-AS1		1	1	507	0.2%	No
TLN2		27	27	1676	1.6%	No
RBM17		3	3	672	0.4%	No
MYLK4		4	4	645	0.6%	No
UBL7		5	5	639	0.8%	No
PIGY		2	2	429	0.5%	No
MS4A8		1	1	122	0.8%	No
RNF157		6	4	819	0.5%	No
SCAF11		13	12	1339	0.9%	No
GALNT13		7	7	875	0.8%	No
EBAG9		2	2	455	0.4%	No
ZC3H12D		1	1	216	0.5%	No
CCDC85A		7	7	808	0.9%	No
TMEM200A		5	5	1215	0.4%	No
DGKI		18	14	940	1.5%	No
B3GNT7		1	1	507	0.2%	No
MYSM1		4	4	686	0.6%	No
SLC25A32		5	5	723	0.7%	No
SLC4A9		4	4	338	1.2%	No
TRAPPC9		17	16	1214	1.3%	No
COLEC12		8	8	1152	0.7%	No
CLPTM1L		6	6	947	0.6%	No
CALN1		7	7	1047	0.7%	No
ZBP1		3	3	586	0.5%	No
HSDL1		2	2	419	0.5%	No
CD99L2		1	1	216	0.5%	No
SLC2A10		2	2	507	0.4%	No
RHNO1		3	3	727	0.4%	No
KCNH6		15	12	1554	0.8%	No
RPS6KL1		9	8	1238	0.6%	No
CRISPLD1		11	9	1484	0.6%	No
AP4M1		11	11	1192	0.9%	No
HTR3B		3	3	343	0.9%	No
MYOM2		25	22	1619	1.4%	No
MAP3K13		27	26	2298	1.1%	Yes
IL1RL1		6	6	575	1.0%	No
TUBB1		3	3	635	0.5%	No
WNT5B		6	5	845	0.6%	No
GJA9		5	5	910	0.5%	No
SGCZ		3	3	962	0.3%	No
MLXIP		5	5	845	0.6%	No
TRAPPC8		13	12	1339	0.9%	No
FAM166B		6	6	1084	0.6%	No
MON1B		5	5	1064	0.5%	No
DDX21		7	7	1088	0.6%	No
RASSF9		1	1	122	0.8%	No
ZW10		3	3	338	0.9%	No
PPP6R1		6	6	629	1.0%	No
OSMR		9	9	1454	0.6%	No
NLGN1		6	6	874	0.7%	No
SEC31A		14	14	1454	1.0%	Yes
ARHGEF2		9	9	1152	0.8%	No
DZIP1		8	8	528	1.5%	No
SLC24A1		9	8	1432	0.6%	No
PLEKHA6		18	14	1519	0.9%	No
ENPP4		8	8	1265	0.6%	No
BUB3		3	3	455	0.7%	No
REPS2		8	8	947	0.8%	No
INPP5F		7	7	1321	0.5%	No
CFAP92		8	8	1554	0.5%	No
JTB		3	3	753	0.4%	No
NLGN4X		15	13	1338	1.0%	No
CPSF4		5	5	845	0.6%	No
MTA3		5	4	845	0.5%	No
CLDND2		1	1	122	0.8%	No
PPARGC1A		12	8	1215	0.7%	No
MTUS1		7	7	925	0.8%	No
RAB10		1	1	122	0.8%	No
MMP24		6	5	528	0.9%	No
MALT1		9	9	1611	0.6%	Yes
PRSS58		5	4	962	0.4%	No
ADHFE1		3	3	819	0.4%	Yes
AARS2		5	5	723	0.7%	No
MAVS		5	5	584	0.9%	No
LYVE1		2	2	746	0.3%	No
ZNF608		12	12	1156	1.0%	No
YIF1A		1	1	239	0.4%	No
INTS2		6	6	823	0.7%	No
UBOX5		7	7	1454	0.5%	No
KHDC4		7	7	1135	0.6%	No
MORC2		7	7	933	0.8%	No
MSI2		3	3	629	0.5%	Yes
ANKRD6		14	13	1374	0.9%	No
SLC16A7		1	1	122	0.8%	No
DEDD		4	4	731	0.5%	No
ZHX2		11	10	1431	0.7%	No
CLSTN1		5	5	1152	0.4%	No
WDR37		2	2	723	0.3%	No
SLC33A1		1	1	122	0.8%	No
ABLIM3		8	7	1025	0.7%	No
FOXJ3		17	14	1338	1.0%	No
KCNAB3		7	7	438	1.6%	No
GPR158		15	15	1646	0.9%	No
OR4D2		4	4	936	0.4%	No
CASKIN2		6	6	845	0.7%	No
ARHGAP31		18	14	1342	1.0%	No
C15ORF40		3	3	609	0.5%	No
HSF5		3	3	845	0.4%	No
SERINC1		2	2	507	0.4%	No
CIART		6	6	845	0.7%	No
XPO5		10	10	1439	0.7%	No
COG6		6	6	1332	0.5%	No
LINC02914		1	1	507	0.2%	No
STARD9		31	21	1511	1.4%	No
DTX2		5	5	1238	0.4%	No
CD109		13	13	1619	0.8%	No
TBC1D21		8	8	1084	0.7%	No
CHSY1		1	1	190	0.5%	No
CILK1		6	5	1215	0.4%	Yes
UBXN2B		2	2	396	0.5%	No
ADGRL1		9	9	1152	0.8%	No
TMEM229A		3	3	723	0.4%	No
ADNP2		9	9	1611	0.6%	No
ANKRD26		16	16	1454	1.1%	No
LMTK2		10	9	1084	0.8%	No
NTNG1		8	8	845	0.9%	No
CFHR4		13	13	1584	0.8%	No
NYNRIN		21	19	1584	1.2%	No
EDDM3A		6	6	1116	0.5%	No
CASKIN1		7	7	1135	0.6%	No
SMR3B		1	1	216	0.5%	No
CFHR3		1	1	100	1.0%	No
PCDH19		29	27	1374	2.0%	No
HECW2		25	25	1511	1.7%	No
TLCD4		3	3	506	0.6%	No
RPTOR		19	19	2158	0.9%	Yes
SRGAP1		26	25	1454	1.7%	No
CD300C		3	3	338	0.9%	No
HCST		1	1	122	0.8%	No
ME3		6	6	1274	0.5%	No
KCTD16		2	2	312	0.6%	No
RTL9		27	23	1519	1.5%	No
FGL2		5	5	694	0.7%	No
NMU		5	5	639	0.8%	No
CNKSR2		25	21	1619	1.3%	No
FASTKD2		10	10	1264	0.8%	No
ZNF510		6	6	1432	0.4%	No
CFAP161		3	3	492	0.6%	No
NLRP1		9	8	999	0.8%	No
FNDC3A		6	6	1332	0.5%	No
RILPL1		8	8	731	1.1%	No
ATG14		5	5	1116	0.4%	No
R3HDM2		12	11	1191	0.9%	No
SLITRK3		8	7	1238	0.6%	No
MIB1		9	9	1454	0.6%	Yes
GPR83		5	5	811	0.6%	No
LMOD3		3	3	845	0.4%	No
PROKR1		6	6	731	0.8%	No
ATOSA		15	13	1372	0.9%	No
ELAPOR1		19	16	1460	1.1%	No
KIAA1328		3	3	877	0.3%	No
SORCS2		14	12	1077	1.1%	No
FAM117B		6	6	1001	0.6%	No
CGN		8	8	1065	0.8%	No
HACE1		8	8	1454	0.6%	No
METTL23		6	6	1116	0.5%	No
TMED8		9	9	1519	0.6%	No
NUFIP2		11	7	825	0.8%	No
TBC1D14		7	7	495	1.4%	No
ZDHHC22		4	4	731	0.5%	No
ACTL7B		3	3	845	0.4%	No
ACTL7A		1	1	216	0.5%	No
ALPK3		16	13	1315	1.0%	No
MRPS30		5	5	936	0.5%	No
WDR35		11	11	1519	0.7%	No
PROX2		4	4	731	0.5%	No
NPFFR2		11	10	1454	0.7%	No
WDR3		5	5	723	0.7%	No
ZNF652		13	11	1511	0.7%	No
ZFP30		5	5	1274	0.4%	No
RHOBTB3		6	6	1123	0.5%	No
COBLL1		16	16	1511	1.1%	No
RNF44		2	2	723	0.3%	No
DLGAP4		17	16	1511	1.1%	No
MTFMT		3	3	506	0.6%	No
DISP3		13	11	1554	0.7%	No
SLC51B		3	3	564	0.5%	No
CEP162		16	15	1554	1.0%	No
USH1G		4	4	1025	0.4%	No
CC2D2A		9	9	1047	0.9%	No
HPSE		9	9	1019	0.9%	No
PDP2		4	4	999	0.4%	No
ZNF624		5	4	157	2.5%	No
PGRMC1		1	1	507	0.2%	No
RUVBL2		3	3	216	1.4%	No
LILRB1		12	8	831	1.0%	No
ZNF398		6	6	1068	0.6%	No
KLHL42		5	4	825	0.5%	No
CYP46A1		4	4	342	1.2%	No
LCE1B		2	2	222	0.9%	No
TXNDC16		6	5	808	0.6%	No
LCE1A		1	1	122	0.8%	No
IGSF9		11	11	947	1.2%	No
CCL27		2	2	57	3.5%	No
FRMPD1		17	16	1611	1.0%	No
TMEM71		4	4	845	0.5%	No
DOLK		3	3	926	0.3%	No
VASH1		5	5	1238	0.4%	No
ZNF507		10	10	1104	0.9%	No
AAK1		10	10	1432	0.7%	No
CPEB3		4	4	1093	0.4%	No
LCE1D		2	2	723	0.3%	No
LCE1C		4	4	913	0.4%	No
TAOK1		10	10	1481	0.7%	No
CANT1		5	5	731	0.7%	Yes
LCE1E		7	7	1454	0.5%	No
RAB11FIP2		6	5	947	0.5%	No
LCE1F		1	1	507	0.2%	No
PPM1E		10	10	1092	0.9%	No
LCE2A		2	1	507	0.2%	No
SEMA6A		8	8	1152	0.7%	No
ARID5A		4	4	845	0.5%	Yes
USP35		5	5	1332	0.4%	No
USP20		5	5	1035	0.5%	No
TSPAN9		3	3	419	0.7%	No
STAMBPL1		3	3	723	0.4%	No
NCEH1		2	2	607	0.3%	No
LCE2D		4	4	868	0.5%	No
MICAL3		16	15	1511	1.0%	No
USP19		7	6	751	0.8%	No
LRRC7		28	25	1554	1.6%	No
NLGN2		5	5	1116	0.4%	No
XKR7		5	5	947	0.5%	No
SLC26A1		7	7	947	0.7%	No
SLC22A7		8	8	947	0.8%	No
ADAM28		3	3	586	0.5%	No
ZNF862		9	9	794	1.1%	No
COPZ1		1	1	239	0.4%	No
LCE3E		1	1	122	0.8%	No
IFT80		11	11	1317	0.8%	No
LCE3C		1	1	122	0.8%	No
ARRDC3		2	2	629	0.3%	No
CEP126		8	7	1100	0.6%	No
PRNT		1	1	122	0.8%	No
TBC1D26		2	2	419	0.5%	No
SYT15		5	5	925	0.5%	No
ZNF319		4	4	868	0.5%	No
KLF16		2	2	122	1.6%	No
ANGPTL6		6	6	1332	0.5%	No
SIPA1L2		20	18	1062	1.7%	No
TMTC1		12	12	1332	0.9%	No
ARHGAP20		6	6	1035	0.6%	No
FSD1L		4	4	753	0.5%	No
KLHL8		9	6	1338	0.4%	No
SYT16		12	12	1454	0.8%	No
ESYT3		8	8	1090	0.7%	No
KLHL14		8	8	1403	0.6%	No
ROPN1L		2	2	629	0.3%	No
ZNF275		4	4	1025	0.4%	No
SLC38A10		11	11	1386	0.8%	No
SETDB2		4	4	403	1.0%	Yes
MRAS		3	3	518	0.6%	No
ATF5		4	4	877	0.5%	No
PHLDA1		12	12	1519	0.8%	No
MTF2		2	2	507	0.4%	No
HSPA4L		3	3	338	0.9%	No
DNAJC8		1	1	190	0.5%	No
PUF60		5	5	1332	0.4%	No
SCAF8		14	14	1619	0.9%	No
SNX18		4	4	577	0.7%	No
NLGN4Y		1	1	122	0.8%	No
ZNF816		4	4	731	0.5%	No
TRMT5		8	8	1184	0.7%	No
CARNS1		8	8	1332	0.6%	No
SUSD2		8	7	1238	0.6%	No
DOCK6		14	13	1084	1.2%	No
ZNF471		6	6	1454	0.4%	No
ZNF253		4	4	368	1.1%	No
COPG1		10	10	1274	0.8%	No
RASA3		9	9	845	1.1%	No
TUBGCP2		6	6	1216	0.5%	No
UNC79		35	23	1519	1.5%	No
USP26		7	6	808	0.7%	No
FAM135A		10	10	1252	0.8%	No
PDE10A		13	13	1611	0.8%	No
CLPX		6	6	1238	0.5%	No
SENP8		1	1	100	1.0%	No
KIAA1217		13	12	1519	0.8%	No
MARCHF4		6	6	1454	0.4%	No
PPP1R13L		8	7	1274	0.5%	No
SRCAP		44	37	1554	2.4%	No
BTNL2		7	7	1454	0.5%	No
PCDH10		17	16	1519	1.1%	No
KIF17		13	13	1454	0.9%	No
MRAP		2	2	370	0.5%	No
CCDC191		6	6	1116	0.5%	No
POLR1G		9	9	1185	0.8%	No
TAS2R42		5	5	710	0.7%	No
ALDH1L1		14	13	1364	1.0%	No
PPP1R17		2	2	607	0.3%	No
FTCD		2	2	629	0.3%	No
ACCSL		11	11	947	1.2%	No
OR4X1		3	3	222	1.4%	No
CDHR4		6	6	1193	0.5%	No
ZNF662		6	6	1216	0.5%	No
PM20D2		3	3	629	0.5%	No
SRSF12		4	4	674	0.6%	No
SLCO4C1		5	5	723	0.7%	No
TARS3		4	4	222	1.8%	No
VGLL3		10	10	1454	0.7%	No
DNAAF4		6	6	427	1.4%	No
CD300LB		2	1	122	0.8%	No
OR8H2		8	8	1035	0.8%	No
OR8H3		2	2	370	0.5%	No
OR5T3		2	2	316	0.6%	No
OR5T1		8	8	1184	0.7%	No
OR8K1		6	6	1238	0.5%	No
ADGRF2		4	4	735	0.5%	No
ANKUB1		3	3	316	0.9%	No
RAET1E		4	4	395	1.0%	No
OR5M9		5	5	438	1.1%	No
OR5M10		4	4	344	1.2%	No
OR5M1		5	5	1142	0.4%	No
PRR23C		1	1	216	0.5%	No
PRR23B		9	9	1454	0.6%	No
ARHGEF15		7	7	1084	0.6%	No
ZNF365		10	9	1397	0.6%	No
CALHM4		3	3	868	0.3%	No
BAHD1		4	4	629	0.6%	No
DIS3		9	9	1525	0.6%	Yes
RPH3A		10	10	1554	0.6%	No
ZUP1		8	8	1338	0.6%	No
UBE2U		2	2	57	3.5%	No
CEP164		12	12	1454	0.8%	No
DENND3		14	14	1432	1.0%	No
ZBTB1		4	4	338	1.2%	No
LEKR1		6	6	1238	0.5%	No
OR5D13		1	1	507	0.2%	No
DYTN		7	7	1332	0.5%	No
OR5D16		2	2	723	0.3%	No
OR5W2		5	5	845	0.6%	No
TMEM212		1	1	122	0.8%	No
OR52N4		5	5	1058	0.5%	No
OR52N5		2	2	746	0.3%	No
OR52N2		7	7	1152	0.6%	No
OR52E6		1	1	100	1.0%	No
OR52E8		1	1	122	0.8%	No
TBC1D32		10	9	1200	0.8%	No
KCTD20		6	6	825	0.7%	No
OR52E4		2	2	697	0.3%	No
PLEKHM3		6	6	1119	0.5%	No
OR56A3		4	3	551	0.5%	No
OLFM2		2	2	280	0.7%	No
TSPO2		1	1	507	0.2%	No
UNC5CL		6	5	686	0.7%	No
RESP18		1	1	507	0.2%	No
TCP10L2		5	5	767	0.7%	No
C2ORF80		1	1	122	0.8%	No
OR8J3		6	6	1158	0.5%	No
OR52A5		5	5	999	0.5%	No
OR51B6		3	3	551	0.5%	No
OR51M1		3	2	629	0.3%	No
OR51Q1		5	5	936	0.5%	No
OR51I1		5	4	338	1.2%	No
OR51I2		4	4	528	0.8%	No
OR6B2		2	2	629	0.3%	No
OR52D1		2	2	507	0.4%	No
OR52H1		2	2	723	0.3%	No
VWCE		7	6	1035	0.6%	No
LHFPL5		1	1	122	0.8%	No
SCUBE3		4	4	312	1.3%	No
CYB561A3		2	2	338	0.6%	No
KLHL31		2	2	338	0.6%	No
BEND6		3	3	609	0.5%	No
PRDM6		9	8	945	0.8%	No
PPP1R32		6	6	1454	0.4%	No
CRIP3		5	5	273	1.8%	No
RAB44		1	1	216	0.5%	No
DHRSX		1	1	190	0.5%	No
CAPN14		5	5	1013	0.5%	No
NKAPL		6	6	1035	0.6%	No
ZSCAN23		7	6	1215	0.5%	No
STRC		3	3	656	0.5%	No
SCGB1C1		5	4	629	0.6%	No
CFAP107		1	1	216	0.5%	No
SLC25A47		8	8	1084	0.7%	No
DDIAS		8	8	825	1.0%	No
GSTA5		2	2	370	0.5%	No
IGSF8		5	5	1048	0.5%	No
GDPD4		9	9	709	1.3%	No
DCLK1		11	9	1200	0.8%	No
OR10A6		3	3	868	0.3%	No
ZMYM4		16	16	1332	1.2%	No
HACD1		4	4	919	0.4%	No
ZMYM5		6	6	925	0.6%	No
ZMYM3		26	23	1481	1.6%	Yes
ZMYM6		12	11	1339	0.8%	No
OPN5		2	2	338	0.6%	No
ADGRF4		6	5	222	2.3%	No
ADGRF5		12	12	1397	0.9%	No
AURKB		9	7	1223	0.6%	Yes
XPR1		3	3	312	1.0%	No
BMP15		7	7	1090	0.6%	No
LGI1		8	7	845	0.8%	No
VAPB		1	1	216	0.5%	No
FCMR		5	4	403	1.0%	No
LARGE1		18	18	1475	1.2%	No
CCDC83		4	4	723	0.6%	No
SEC14L4		2	2	723	0.3%	No
LRRFIP2		6	6	1238	0.5%	No
USP54		12	10	1307	0.8%	No
LRRFIP1		9	7	1058	0.7%	No
MAGI1		16	15	1511	1.0%	No
NOLC1		7	7	1116	0.6%	No
DLGAP2		18	18	1511	1.2%	No
PPM1H		6	6	945	0.6%	No
HSPH1		2	2	572	0.3%	No
PCDHB6		17	16	1332	1.2%	No
ENTR1		5	4	933	0.4%	No
PCDHB4		11	11	1454	0.8%	No
MYORG		3	3	551	0.5%	No
PCDHB3		10	7	1047	0.7%	No
SNX33		3	3	214	1.4%	No
AMIGO1		4	4	629	0.6%	No
PCDHA12		18	15	1554	1.0%	No
ERICH6B		10	10	1362	0.7%	No
SLC12A5		17	13	1163	1.1%	No
TAS1R3		8	8	902	0.9%	No
NOXA1		3	3	338	0.9%	No
WASF3		7	7	1554	0.5%	No
PCDHA11		18	18	1554	1.2%	No
PNMA8B		3	3	629	0.5%	No
KRTAP4-12		2	2	629	0.3%	No
PCDHA10		18	13	1206	1.1%	No
RBP5		1	1	190	0.5%	No
UTP14A		4	4	694	0.6%	No
CBY2		2	2	629	0.3%	No
PCDHB2		18	18	1554	1.2%	No
STRIP2		6	5	681	0.7%	No
LONP2		8	8	1365	0.6%	No
CPLX1		1	1	122	0.8%	No
PCDHAC2		10	10	1454	0.7%	No
TBC1D24		2	2	629	0.3%	No
FRS3		6	6	1216	0.5%	No
SCAF4		17	17	1554	1.1%	No
PCDHAC1		5	5	845	0.6%	No
SPINT3		3	3	687	0.4%	No
PCDHA13		12	12	1359	0.9%	No
HHATL		2	2	280	0.7%	No
TEDC1		3	3	936	0.3%	No
VAPA		2	2	607	0.3%	No
MTA2		6	6	1152	0.5%	No
RRAS2		5	5	302	1.7%	Yes
ITGA11		18	18	1511	1.2%	No
IL32		1	1	100	1.0%	No
CLCA4		7	5	731	0.7%	No
PTTG1		1	1	100	1.0%	No
XRN2		10	10	1215	0.8%	No
TBRG4		8	8	882	0.9%	No
IKZF3		8	8	651	1.2%	Yes
CCPG1		7	7	1058	0.7%	No
IKZF2		6	6	1084	0.6%	Yes
PCDHA8		15	13	1380	0.9%	No
FRS2		6	6	947	0.6%	Yes
PCDHA7		14	14	1184	1.2%	No
CNOT6		4	4	767	0.5%	No
PCDHA6		13	13	1303	1.0%	No
ZNF512B		8	7	970	0.7%	No
ZNF490		5	5	709	0.7%	No
PCDHA5		11	11	940	1.2%	No
RAB11B		2	1	122	0.8%	No
ITCH		18	14	1554	0.9%	No
DLG5		18	18	1496	1.2%	No
LRRC47		2	2	122	1.6%	No
PRR12		17	16	1511	1.1%	No
ZNF484		17	13	1554	0.8%	No
CEP170B		4	4	528	0.8%	No
L3MBTL2		13	11	1332	0.8%	No
PCDHA4		9	8	1010	0.8%	No
FAM177A1		3	3	157	1.9%	No
PLEKHH1		9	8	872	0.9%	No
TFAP2D		3	3	528	0.6%	No
FAXDC2		2	2	216	0.9%	No
PCDHA3		22	22	1554	1.4%	No
GRAMD1B		8	8	1048	0.8%	No
NEU3		2	2	57	3.5%	No
PCDHA2		14	12	1649	0.7%	No
SHROOM4		22	19	1546	1.2%	No
GRWD1		4	4	528	0.8%	No
USP31		12	11	1519	0.7%	No
FAM114A2		7	7	945	0.7%	No
PCDHA1		10	10	916	1.1%	No
MARVELD1		2	2	338	0.6%	No
DLGAP1		13	12	1454	0.8%	No
GCNT3		4	4	731	0.5%	No
MEIG1		2	2	57	3.5%	No
CRLF1		4	4	338	1.2%	No
DHRS3		1	1	239	0.4%	No
ODF3B		1	1	122	0.8%	No
GCM2		10	10	1116	0.9%	No
GPR50		13	12	1554	0.8%	No
CRACD		17	14	977	1.4%	No
RNF150		8	8	1047	0.8%	No
TEX15		37	35	1611	2.2%	No
NOG		2	2	128	1.6%	No
MSC		3	3	338	0.9%	No
PLEKHG1		12	12	1039	1.2%	No
KIAA1210		33	30	1619	1.9%	No
PNMA1		4	4	1062	0.4%	No
TEX11		7	7	1329	0.5%	No
NT5DC4		2	2	122	1.6%	No
TEX14		13	12	1105	1.1%	No
NLN		10	10	947	1.1%	No
ANKRD31		17	17	1454	1.2%	No
TEX13B		1	1	122	0.8%	No
ESYT2		3	3	729	0.4%	No
TEX13A		7	6	1084	0.6%	No
ODF2L		3	3	609	0.5%	No
TSPOAP1		22	21	1454	1.4%	No
SHISA8		1	1	216	0.5%	No
CACNA2D2		10	10	1238	0.8%	No
NKX2-6		3	3	586	0.5%	No
AIMP1		3	3	555	0.5%	No
MFHAS1		1	1	507	0.2%	No
PIWIL3		13	11	1649	0.7%	No
HEG1		15	15	1332	1.1%	No
RNF17		13	7	808	0.9%	No
RIMKLB		2	2	629	0.3%	No
STK31		19	19	1432	1.3%	No
NWD2		16	15	1554	1.0%	No
MRTFB		18	16	1497	1.1%	No
TDRD1		9	8	1100	0.7%	No
RPS6KA5		2	2	723	0.3%	No
RBM4B		9	9	1554	0.6%	No
NUMBL		11	10	1092	0.9%	No
NSMCE3		3	3	438	0.7%	No
AHRR		9	8	1274	0.6%	No
ARID1B		51	49	2543	1.9%	Yes
CYSLTR1		2	2	507	0.4%	No
SEC24A		8	8	1432	0.6%	No
SEPTIN9		5	3	609	0.5%	Yes
LRFN2		7	7	1215	0.6%	No
GJB6		1	1	122	0.8%	No
KIDINS220		8	7	1148	0.6%	No
SDCCAG8		9	9	788	1.1%	No
GSDMC		3	3	609	0.5%	No
CYTH1		10	10	1389	0.7%	No
CYTH3		4	4	1001	0.4%	No
CYTH2		4	3	609	0.5%	No
PDLIM7		3	3	845	0.4%	No
COL6A5		28	22	1454	1.5%	No
STK17A		4	4	910	0.4%	No
MAPKAPK2		8	8	708	1.1%	No
DNAH7		38	30	1511	2.0%	No
SAPCD1		3	3	586	0.5%	No
STK17B		8	8	1454	0.6%	No
ANKH		3	3	607	0.5%	No
KCNK16		6	6	831	0.7%	No
GOLGA6L2		24	24	1238	1.9%	No
TMEM44		2	2	607	0.3%	No
ZBTB22		5	5	945	0.5%	No
COPB2		10	9	808	1.1%	No
WDR46		7	7	1184	0.6%	No
KCNG4		5	5	910	0.5%	No
PIWIL1		26	26	1611	1.6%	No
NAPRT		4	4	731	0.5%	No
BCL7C		3	3	361	0.8%	No
MOSPD1		3	3	433	0.7%	No
SPACDR		1	1	507	0.2%	No
MTFR1L		4	4	780	0.5%	No
BCL7B		1	1	507	0.2%	No
OR4K15		3	3	629	0.5%	No
KPNA7		3	3	629	0.5%	No
ARMC10		8	8	1511	0.5%	No
REC114		1	1	122	0.8%	No
FRMD8		1	1	122	0.8%	No
STMND1		1	1	122	0.8%	No
ADGRG1		8	8	1454	0.6%	No
ZNF257		3	3	723	0.4%	No
TAAR2		3	3	845	0.4%	No
ZNF561		6	6	1181	0.5%	No
MED14		13	11	1554	0.7%	No
GPR37L1		4	4	609	0.7%	No
ZNF549		10	10	1090	0.9%	No
NPIPA1		1	1	27	3.7%	No
RNF149		5	5	503	1.0%	No
CCDC150		14	14	1258	1.1%	No
MS4A10		3	3	518	0.6%	No
ORAI3		1	1	122	0.8%	No
GPR52		5	5	1078	0.5%	No
GPR55		2	2	455	0.4%	No
TAB3		20	18	1554	1.2%	No
SLC35A4		2	2	507	0.4%	No
FAM83F		7	7	1454	0.5%	No
S1PR2		1	1	216	0.5%	Yes
SRSF11		3	3	697	0.4%	No
PRTG		12	11	1374	0.8%	No
ZNF732		4	4	849	0.5%	No
SLC24A5		1	1	122	0.8%	No
LIMCH1		7	7	761	0.9%	No
RIMS1		27	26	1554	1.7%	No
PCNX1		18	15	1649	0.9%	No
KDM2A		13	13	1519	0.9%	No
HMGXB3		5	5	1025	0.5%	No
HASPIN		1	1	180	0.6%	No
CEP131		2	2	629	0.3%	No
CEP152		12	12	1303	0.9%	No
KRTAP17-1		3	3	926	0.3%	No
TTC39A		6	6	1058	0.6%	No
IGSF9B		10	10	972	1.0%	No
LRFN1		4	4	686	0.6%	No
ZFAT		6	6	1035	0.6%	No
NYAP2		6	5	1215	0.4%	No
STIM2		3	3	528	0.6%	No
ZBTB2		10	10	1303	0.8%	No
KLHL1		8	8	991	0.8%	No
DPP10		12	12	1519	0.8%	No
CCR2		7	7	1116	0.6%	No
ZBED10P		2	2	396	0.5%	No
SFTPA2		1	1	122	0.8%	No
HEPHL1		12	11	1315	0.8%	No
TRPV5		8	7	316	2.2%	No
LRRN1		9	9	968	0.9%	No
EP400		23	21	1584	1.3%	Yes
FBXO41		10	10	1454	0.7%	No
KRTAP9-8		3	3	609	0.5%	No
NACA2		4	3	629	0.5%	No
ARHGAP23		13	12	1084	1.1%	No
KRTAP9-3		3	3	403	0.7%	No
SH3RF1		3	3	429	0.7%	No
LRCH2		14	14	1554	0.9%	No
IL36G		2	2	95	2.1%	No
SLC7A10		4	4	436	0.9%	No
KRBOX5		1	1	507	0.2%	No
CCDC146		12	12	1437	0.8%	No
PAXIP1		11	11	1295	0.8%	No
AKR7A3		3	3	629	0.5%	No
NT5C2		6	6	598	1.0%	Yes
EFR3B		15	15	1581	0.9%	No
NUTM2B		3	3	926	0.3%	Yes
TPX2		4	3	485	0.6%	No
MYH7B		19	16	1364	1.2%	No
SPRTN		9	9	1143	0.8%	Yes
SLC27A5		7	7	845	0.8%	No
TTC30B		8	8	825	1.0%	No
STK40		8	8	1252	0.6%	Yes
POGK		4	4	1035	0.4%	No
USP28		19	17	1406	1.2%	No
SMTNL2		6	6	867	0.7%	No
SAMD13		1	1	216	0.5%	No
SLC27A4		5	5	926	0.5%	No
DHX37		12	12	1303	0.9%	No
SEPTIN12		5	5	1116	0.4%	No
ANKS3		2	2	216	0.9%	No
COL20A1		15	14	1035	1.4%	No
ANKRD7		2	2	629	0.3%	No
STARD3NL		1	1	507	0.2%	No
ZSWIM5		8	8	1554	0.5%	No
LILRB5		10	8	1047	0.8%	No
SF3B2		11	11	1554	0.7%	No
NCOA7		8	8	1338	0.6%	No
ILVBL		10	10	1338	0.7%	No
KIAA1522		8	7	1339	0.5%	No
ACOD1		2	2	152	1.3%	No
PHF12		10	9	1338	0.7%	No
SDS		2	2	152	1.3%	No
SV2C		5	5	528	0.9%	No
ODF3		1	1	100	1.0%	No
MYH15		27	18	1584	1.1%	No
HINT3		1	1	507	0.2%	No
TCF25		8	7	757	0.9%	No
NINL		24	24	1511	1.6%	No
DIP2C		15	14	1511	0.9%	No
CIP2A		3	3	962	0.3%	No
MAST1		16	16	1401	1.1%	No
PDCD11		14	12	875	1.4%	Yes
ACIN1		11	11	1017	1.1%	No
SORCS3		13	13	1619	0.8%	No
GRAMD1A		4	4	780	0.5%	No
PGAP6		2	2	338	0.6%	No
HCN3		12	11	1274	0.9%	No
CALCOCO1		2	2	746	0.3%	No
C1ORF52		1	1	122	0.8%	No
IL22RA1		6	6	1127	0.5%	No
UVSSA		6	6	738	0.8%	No
CD300E		4	4	721	0.6%	No
OR4N4		8	6	947	0.6%	No
FAM83G		10	10	1337	0.7%	No
ZBTB4		6	5	438	1.1%	No
TRIM32		3	3	629	0.5%	No
SCMH1		14	12	1047	1.1%	No
DTD2		1	1	122	0.8%	No
PHRF1		8	7	1332	0.5%	No
SLC4A1AP		7	7	1281	0.5%	No
P2RX2		13	13	1432	0.9%	No
FBRSL1		7	7	1065	0.7%	No
UQCR11		1	1	180	0.6%	No
TMCO3		7	7	1099	0.6%	No
FCAMR		15	13	1004	1.3%	No
CLP1		1	1	216	0.5%	Yes
TTC22		2	2	629	0.3%	No
EPB41L5		8	8	1149	0.7%	No
CAMSAP3		13	13	1454	0.9%	No
FAM118A		1	1	122	0.8%	No
